,stars,topics,days,forks_count,language_AsciiDoc,language_Assembly,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_CoffeeScript,language_Dart,language_Dockerfile,language_Elixir,language_Emacs Lisp,language_Go,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Jinja,language_Julia,language_Jupyter Notebook,language_Kotlin,language_Lua,language_Makefile,language_Markdown,language_Nunjucks,language_OCaml,language_Objective-C,language_Objective-C++,language_PHP,language_Python,language_Roff,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Shell,language_Standard ML,language_Swift,language_TeX,language_TypeScript,language_V,language_Vim Script,language_Vim script,language_Vue,language_Zig
language_CSS,-0.008965473,-0.049753389,0.03202476,-0.018386615,-0.003418009,-0.003418009,-0.003418009,-0.01931715,-0.011904762,-0.025796969,1,-0.004836169,-0.003418009,-0.005925984,-0.003418009,-0.004836169,-0.003418009,-0.031178116,-0.016572068,-0.005925984,-0.030069239,-0.059202663,-0.003418009,-0.003418009,-0.01239702,-0.01239702,-0.007657947,-0.004836169,-0.005925984,-0.003418009,-0.003418009,-0.007657947,-0.003418009,-0.012871388,-0.037934643,-0.003418009,-0.014623885,-0.016572068,-0.004836169,-0.003418009,-0.01619968,-0.003418009,-0.014623885,-0.006846104,-0.036961064,-0.003418009,-0.004836169,-0.005925984,-0.009700968,-0.003418009
language_Clojure,0.018774755,0.030258994,0.008296174,-0.016971736,-0.001388526,-0.001388526,-0.001388526,-0.007847364,-0.004836169,-0.010479714,-0.004836169,1,-0.001388526,-0.002407361,-0.001388526,-0.001964637,-0.001388526,-0.012665742,-0.006732207,-0.002407361,-0.012215273,-0.024050383,-0.001388526,-0.001388526,-0.005036143,-0.005036143,-0.00311095,-0.001964637,-0.002407361,-0.001388526,-0.001388526,-0.00311095,-0.001388526,-0.005228849,-0.015410501,-0.001388526,-0.00594078,-0.006732207,-0.001964637,-0.001388526,-0.006580929,-0.001388526,-0.00594078,-0.002781149,-0.015014996,-0.001388526,-0.001964637,-0.002407361,-0.003940904,-0.001388526
language_CoffeeScript,-0.018019528,-0.037752383,0.034583425,-0.013881063,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,1,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Dart,0.064147175,0.054980014,-0.033060195,0.026373004,-0.001701426,-0.001701426,-0.001701426,-0.009615743,-0.005925984,-0.012841284,-0.005925984,-0.002407361,-0.001701426,1,-0.001701426,-0.002407361,-0.001701426,-0.015519927,-0.008249288,-0.002949853,-0.014967947,-0.029470061,-0.001701426,-0.001701426,-0.006171022,-0.006171022,-0.003811993,-0.002407361,-0.002949853,-0.001701426,-0.001701426,-0.003811993,-0.001701426,-0.006407154,-0.018883209,-0.001701426,-0.007279517,-0.008249288,-0.002407361,-0.001701426,-0.00806392,-0.001701426,-0.007279517,-0.003407872,-0.018398578,-0.001701426,-0.002407361,-0.002949853,-0.004828974,-0.001701426
language_Dockerfile,0.019548212,-0.037752383,-0.029483128,-0.007935595,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,1,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Elixir,-0.023803897,-0.033493496,0.047311299,-0.020841081,-0.001388526,-0.001388526,-0.001388526,-0.007847364,-0.004836169,-0.010479714,-0.004836169,-0.001964637,-0.001388526,-0.002407361,-0.001388526,1,-0.001388526,-0.012665742,-0.006732207,-0.002407361,-0.012215273,-0.024050383,-0.001388526,-0.001388526,-0.005036143,-0.005036143,-0.00311095,-0.001964637,-0.002407361,-0.001388526,-0.001388526,-0.00311095,-0.001388526,-0.005228849,-0.015410501,-0.001388526,-0.00594078,-0.006732207,-0.001964637,-0.001388526,-0.006580929,-0.001388526,-0.00594078,-0.002781149,-0.015014996,-0.001388526,-0.001964637,-0.002407361,-0.003940904,-0.001388526
language_Emacs Lisp,-0.013699956,-0.009591325,0.028638148,-0.00663457,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,1,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Go,-0.038039736,0.04195007,-0.013935968,-0.075594459,-0.008951636,-0.008951636,-0.008951636,-0.050590878,-0.031178116,-0.067561274,-0.031178116,-0.012665742,-0.008951636,-0.015519927,-0.008951636,-0.012665742,-0.008951636,1,-0.043401611,-0.015519927,-0.078750187,-0.155049511,-0.008951636,-0.008951636,-0.032467321,-0.032467321,-0.02005587,-0.012665742,-0.015519927,-0.008951636,-0.008951636,-0.02005587,-0.008951636,-0.033709673,-0.09934938,-0.008951636,-0.038299395,-0.043401611,-0.012665742,-0.008951636,-0.042426342,-0.008951636,-0.038299395,-0.017929685,-0.096799612,-0.008951636,-0.012665742,-0.015519927,-0.025406466,-0.008951636
language_HTML,-0.054482453,-0.105867307,-0.028318322,-0.015546387,-0.004758053,-0.004758053,-0.004758053,-0.02689051,-0.016572068,-0.035910765,-0.016572068,-0.006732207,-0.004758053,-0.008249288,-0.004758053,-0.006732207,-0.004758053,-0.043401611,1,-0.008249288,-0.041857995,-0.082413284,-0.004758053,-0.004758053,-0.017257317,-0.017257317,-0.010660273,-0.006732207,-0.008249288,-0.004758053,-0.004758053,-0.010660273,-0.004758053,-0.017917663,-0.05280706,-0.004758053,-0.020357232,-0.023069208,-0.006732207,-0.004758053,-0.022550824,-0.004758053,-0.020357232,-0.009530144,-0.051451784,-0.004758053,-0.006732207,-0.008249288,-0.013504269,-0.004758053
language_Haskell,-0.018924977,0.006155694,0.058455922,-0.031318461,-0.001701426,-0.001701426,-0.001701426,-0.009615743,-0.005925984,-0.012841284,-0.005925984,-0.002407361,-0.001701426,-0.002949853,-0.001701426,-0.002407361,-0.001701426,-0.015519927,-0.008249288,1,-0.014967947,-0.029470061,-0.001701426,-0.001701426,-0.006171022,-0.006171022,-0.003811993,-0.002407361,-0.002949853,-0.001701426,-0.001701426,-0.003811993,-0.001701426,-0.006407154,-0.018883209,-0.001701426,-0.007279517,-0.008249288,-0.002407361,-0.001701426,-0.00806392,-0.001701426,-0.007279517,-0.003407872,-0.018398578,-0.001701426,-0.002407361,-0.002949853,-0.004828974,-0.001701426
language_Java,-0.027552453,0.002331681,0.004179284,0.109551298,-0.008633263,-0.008633263,-0.008633263,-0.048791569,-0.030069239,-0.065158398,-0.030069239,-0.012215273,-0.008633263,-0.014967947,-0.008633263,-0.012215273,-0.008633263,-0.078750187,-0.041857995,-0.014967947,1,-0.149535037,-0.008633263,-0.008633263,-0.031312592,-0.031312592,-0.019342565,-0.012215273,-0.014967947,-0.008633263,-0.008633263,-0.019342565,-0.008633263,-0.032510759,-0.095815931,-0.008633263,-0.036937243,-0.041857995,-0.012215273,-0.008633263,-0.040917411,-0.008633263,-0.036937243,-0.017292,-0.093356848,-0.008633263,-0.012215273,-0.014967947,-0.024502862,-0.008633263
language_JavaScript,0.00106475,-0.031571617,0.142741283,-0.055935048,-0.016997842,-0.016997842,-0.016997842,-0.096064646,-0.059202663,-0.128288935,-0.059202663,-0.024050383,-0.016997842,-0.029470061,-0.016997842,-0.024050383,-0.016997842,-0.155049511,-0.082413284,-0.029470061,-0.149535037,1,-0.016997842,-0.016997842,-0.061650673,-0.061650673,-0.03808315,-0.024050383,-0.029470061,-0.016997842,-0.016997842,-0.03808315,-0.016997842,-0.064009718,-0.188649879,-0.016997842,-0.072724924,-0.082413284,-0.024050383,-0.016997842,-0.08056139,-0.016997842,-0.072724924,-0.034045838,-0.183808244,-0.016997842,-0.024050383,-0.029470061,-0.048243146,-0.016997842
language_Jinja,-0.009899033,0.024201945,-0.009882293,-0.016737504,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,1,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Julia,0.005326093,0.00730531,0.047433894,-0.006474668,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,1,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Jupyter Notebook,-0.033139815,-0.009645465,-0.089587004,0.086172963,-0.003559343,-0.003559343,-0.003559343,-0.020115908,-0.01239702,-0.026863665,-0.01239702,-0.005036143,-0.003559343,-0.006171022,-0.003559343,-0.005036143,-0.003559343,-0.032467321,-0.017257317,-0.006171022,-0.031312592,-0.061650673,-0.003559343,-0.003559343,1,-0.012909633,-0.0079746,-0.005036143,-0.006171022,-0.003559343,-0.003559343,-0.0079746,-0.003559343,-0.013403616,-0.039503228,-0.003559343,-0.015228577,-0.017257317,-0.005036143,-0.003559343,-0.016869531,-0.003559343,-0.015228577,-0.007129188,-0.038489391,-0.003559343,-0.005036143,-0.006171022,-0.0101021,-0.003559343
language_Kotlin,-0.025017379,-0.050501197,0.035775857,0.001978114,-0.003559343,-0.003559343,-0.003559343,-0.020115908,-0.01239702,-0.026863665,-0.01239702,-0.005036143,-0.003559343,-0.006171022,-0.003559343,-0.005036143,-0.003559343,-0.032467321,-0.017257317,-0.006171022,-0.031312592,-0.061650673,-0.003559343,-0.003559343,-0.012909633,1,-0.0079746,-0.005036143,-0.006171022,-0.003559343,-0.003559343,-0.0079746,-0.003559343,-0.013403616,-0.039503228,-0.003559343,-0.015228577,-0.017257317,-0.005036143,-0.003559343,-0.016869531,-0.003559343,-0.015228577,-0.007129188,-0.038489391,-0.003559343,-0.005036143,-0.006171022,-0.0101021,-0.003559343
language_Lua,-0.023559458,0.049176203,-0.001550148,-0.029965079,-0.002198694,-0.002198694,-0.002198694,-0.012426095,-0.007657947,-0.016594352,-0.007657947,-0.00311095,-0.002198694,-0.003811993,-0.002198694,-0.00311095,-0.002198694,-0.02005587,-0.010660273,-0.003811993,-0.019342565,-0.03808315,-0.002198694,-0.002198694,-0.0079746,-0.0079746,1,-0.00311095,-0.003811993,-0.002198694,-0.002198694,-0.004926108,-0.002198694,-0.008279746,-0.024402124,-0.002198694,-0.00940707,-0.010660273,-0.00311095,-0.002198694,-0.010420728,-0.002198694,-0.00940707,-0.004403876,-0.023775852,-0.002198694,-0.00311095,-0.003811993,-0.006240318,-0.002198694
language_Makefile,-0.008801868,-0.029508965,-0.020313456,-0.005538529,-0.001388526,-0.001388526,-0.001388526,-0.007847364,-0.004836169,-0.010479714,-0.004836169,-0.001964637,-0.001388526,-0.002407361,-0.001388526,-0.001964637,-0.001388526,-0.012665742,-0.006732207,-0.002407361,-0.012215273,-0.024050383,-0.001388526,-0.001388526,-0.005036143,-0.005036143,-0.00311095,1,-0.002407361,-0.001388526,-0.001388526,-0.00311095,-0.001388526,-0.005228849,-0.015410501,-0.001388526,-0.00594078,-0.006732207,-0.001964637,-0.001388526,-0.006580929,-0.001388526,-0.00594078,-0.002781149,-0.015014996,-0.001388526,-0.001964637,-0.002407361,-0.003940904,-0.001388526
language_Markdown,0.039228192,0.04521515,-0.029087457,0.018484506,-0.001701426,-0.001701426,-0.001701426,-0.009615743,-0.005925984,-0.012841284,-0.005925984,-0.002407361,-0.001701426,-0.002949853,-0.001701426,-0.002407361,-0.001701426,-0.015519927,-0.008249288,-0.002949853,-0.014967947,-0.029470061,-0.001701426,-0.001701426,-0.006171022,-0.006171022,-0.003811993,-0.002407361,1,-0.001701426,-0.001701426,-0.003811993,-0.001701426,-0.006407154,-0.018883209,-0.001701426,-0.007279517,-0.008249288,-0.002407361,-0.001701426,-0.00806392,-0.001701426,-0.007279517,-0.003407872,-0.018398578,-0.001701426,-0.002407361,-0.002949853,-0.004828974,-0.001701426
language_Nunjucks,0.021202744,-0.003959113,0.038299224,0.014007396,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,1,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_OCaml,-0.01439113,-0.037752383,0.007581959,-0.017820481,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,1,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Objective-C,-0.021880296,-0.034107872,0.068380971,0.000941087,-0.002198694,-0.002198694,-0.002198694,-0.012426095,-0.007657947,-0.016594352,-0.007657947,-0.00311095,-0.002198694,-0.003811993,-0.002198694,-0.00311095,-0.002198694,-0.02005587,-0.010660273,-0.003811993,-0.019342565,-0.03808315,-0.002198694,-0.002198694,-0.0079746,-0.0079746,-0.004926108,-0.00311095,-0.003811993,-0.002198694,-0.002198694,1,-0.002198694,-0.008279746,-0.024402124,-0.002198694,-0.00940707,-0.010660273,-0.00311095,-0.002198694,-0.010420728,-0.002198694,-0.00940707,-0.004403876,-0.023775852,-0.002198694,-0.00311095,-0.003811993,-0.006240318,-0.002198694
language_Objective-C++,-0.016553595,-0.037752383,0.014146535,-0.013935576,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,1,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_PHP,-0.029964437,-0.023998853,0.160009043,0.015957411,-0.00369554,-0.00369554,-0.00369554,-0.020885637,-0.012871388,-0.027891595,-0.012871388,-0.005228849,-0.00369554,-0.006407154,-0.00369554,-0.005228849,-0.00369554,-0.033709673,-0.017917663,-0.006407154,-0.032510759,-0.064009718,-0.00369554,-0.00369554,-0.013403616,-0.013403616,-0.008279746,-0.005228849,-0.006407154,-0.00369554,-0.00369554,-0.008279746,-0.00369554,1,-0.041014807,-0.00369554,-0.015811294,-0.017917663,-0.005228849,-0.00369554,-0.017515039,-0.00369554,-0.015811294,-0.007401984,-0.039962176,-0.00369554,-0.005228849,-0.006407154,-0.010488654,-0.00369554
language_Python,0.028075296,0.022546651,-0.068616676,0.06230161,-0.010891522,-0.010891522,-0.010891522,-0.061554293,-0.037934643,-0.082202299,-0.037934643,-0.015410501,-0.010891522,-0.018883209,-0.010891522,-0.015410501,-0.010891522,-0.09934938,-0.05280706,-0.018883209,-0.095815931,-0.188649879,-0.010891522,-0.010891522,-0.039503228,-0.039503228,-0.024402124,-0.015410501,-0.018883209,-0.010891522,-0.010891522,-0.024402124,-0.010891522,-0.041014807,1,-0.010891522,-0.046599155,-0.05280706,-0.015410501,-0.010891522,-0.051620442,-0.010891522,-0.046599155,-0.021815179,-0.1177768,-0.010891522,-0.015410501,-0.018883209,-0.030912233,-0.010891522
language_Roff,-0.007276856,-0.02648796,0.032013332,-0.015349259,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,1,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Ruby,-0.027362655,-0.01292277,0.12820979,-0.005653773,-0.004198704,-0.004198704,-0.004198704,-0.023729309,-0.014623885,-0.031689159,-0.014623885,-0.00594078,-0.004198704,-0.007279517,-0.004198704,-0.00594078,-0.004198704,-0.038299395,-0.020357232,-0.007279517,-0.036937243,-0.072724924,-0.004198704,-0.004198704,-0.015228577,-0.015228577,-0.00940707,-0.00594078,-0.007279517,-0.004198704,-0.004198704,-0.00940707,-0.004198704,-0.015811294,-0.046599155,-0.004198704,1,-0.020357232,-0.00594078,-0.004198704,-0.019899789,-0.004198704,-0.017964072,-0.008409797,-0.045403203,-0.004198704,-0.00594078,-0.007279517,-0.011916731,-0.004198704
language_Rust,-0.020287389,0.046105025,-0.110440722,-0.085290219,-0.004758053,-0.004758053,-0.004758053,-0.02689051,-0.016572068,-0.035910765,-0.016572068,-0.006732207,-0.004758053,-0.008249288,-0.004758053,-0.006732207,-0.004758053,-0.043401611,-0.023069208,-0.008249288,-0.041857995,-0.082413284,-0.004758053,-0.004758053,-0.017257317,-0.017257317,-0.010660273,-0.006732207,-0.008249288,-0.004758053,-0.004758053,-0.010660273,-0.004758053,-0.017917663,-0.05280706,-0.004758053,-0.020357232,1,-0.006732207,-0.004758053,-0.022550824,-0.004758053,-0.020357232,-0.009530144,-0.051451784,-0.004758053,-0.006732207,-0.008249288,-0.013504269,-0.004758053
